Season,Commentor,Time Commented,Comment
3,@tahirqurashi3038,1 year ago,Very good think daak room jo baat hum khat ke zariye kahesakten wo hum apni ammi maa aur baap abbu se nahi kahe sakte aur ek baat zo bahot ziyada kaam karegi bacho children me respect aur tahezeeb aygi aaj jo hum apne maa baap se batmeezi krte is adadt se bahot achhcha asar padega
3,@sumitdhara2259,4 months ago,Sare sharks ko lene ke chakkar mein sab founders apne valuation ko kam kar lete hai
3,@mbbsalka,7 months ago,Daak room really?
3,@kasturiswami784,1 year ago,"Lab grown diamond is not environmently friendly as it uses a lot of power,which comes from coal,thermal and neuclear with their own pollution. It is just once removed."
3,@mahenderraomesineni,1 year ago,Good information in india
3,@vikasagrawal2327,1 year ago,Nuved mushroom k sath aur product kaam karna chahiye
3,@ZoomMovies.,1 year ago,Original is original bro
3,@UMSHAIKH,9 months ago,saving ka koi fayeda nahi.. sab aunty le jayegi
3,@SarahTenHoeve,1 year ago,नीस पिच  !!
3,@overnightstore,1 year ago,Startup
3,@PrachiSharma-nz9nx,1 year ago,Ritesh is the best
3,@wth12345,1 year ago (edited),Lol people buy diamond because it's luxury good. If it's cost become 80% lesser than diamond. Than its status value will become equal to iron metal. People buy diamond for status because it is expensive
3,@babarshaheen.,1 year ago,Aaaaammmman…
3,@mehuksuria373,10 months ago,Dimond deal/made mistake buy give more equity to get all sharks
3,@nainaverma9454,9 months ago,Ritesh best hai
3,@maheshjadhav3156,8 months ago,Ritesh saho
3,@faryalwilliam9167,1 year ago,Now I judging all diamond my cousin sister gifted us from USA
3,@MdArmanKhan-wv5rx,1 year ago,Background music  bahot disturb kar rha hai yar baat ko achhe se sunne nahi de rha hai aur sir pe iska music lag bahot rha hai
3,@jahangirmemon3069,1 year ago,All shark deals are usually bad
3,@ayushpandey9903,1 year ago,1 he video ye log 4 bar kyu upload krte h
3,@Dm76555,7 months ago,Nhi karna tha
3,@akchannel6396,1 year ago,Only on Aman Gupta fan like
3,@bhavya3369,1 year ago (edited),GIA lab-grown diamond certify nahi karta
3,@AnilVij-x5n,1 year ago,"""brand name ..Brand symbol ...Brand name brand symbol""... too much gyaan on this from someone with a brand name called Sugar and symbol is ""S""  ..."
3,@sumangautam272,1 year ago,One of the shark's company name is a ripoff of Beats.
3,@arslanahmed1338,1 year ago,Replace riteish wifh anupam
3,@sahilshaikh-h8l,1 year ago,Radhika is wasting her time. She does not Invest anything. She is wasting a SHARK Seat.
